species,Feeding_and_foraging,Begging,Hunt,While_feeding
Macaca mulatta,1,,,1
Macaca sylvanus,,,,
Theropithecus gelada,1,,,1
Theropithecus gelada,1,,,1
Theropithecus gelada,1,,,1
Theropithecus gelada,1,,,1
Cercocebus torquatus atys,1,,,
Cercocebus torquatus atys,1,,,
Mandrillus sphinx,,,,
Cercopithecus mitis stuhlmanni,1,,,1
Cercopithecus mitis stuhlmanni,1,,,1
Cercopithecus neglectus,1,,,1
Cercopithecus neglectus,1,1,,
Pan troglodytes verus,1,1,,
Pan troglodytes verus,1,,,1
Pan troglodytes verus,1,,,1
Pan troglodytes verus,1,,1,
Pan troglodytes verus,1,,,1
Pan troglodytes verus,1,,,1
Pan troglodytes verus,1,,,1
Pan troglodytes verus,1,,,1
Pan troglodytes verus,1,,,1
Pan paniscus,1,,,1
Pan paniscus,1,1,,
Pan paniscus,1,,,1
Pan paniscus,1,,,1
Gorilla gorilla,1,,,
Gorilla gorilla,1,,,
Gorilla gorilla,1,,,
Gorilla gorilla,1,,,
Gorilla gorilla,1,,,
Callithrix jacchus,1,1,,
Callithrix jacchus,1,,,1
Callithrix jacchus,1,,,1
Cebus capucinus,1,,,
Cebus capucinus,1,,,
Lagothrix lagotricha,1,,,1
Lagothrix lagotricha,1,,,
Lemur catta,1,,,1
Lemur catta,1,,,1
